reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
401348e2-14c7-44ff-b702-5b9ffd9aba01,Avanindra Kumar,https://play-lh.googleusercontent.com/a-/AD_cMMQVf-VngPa1fmeMm-445nOdgphmm3-8Tf-c19zSG_ZIOQ,"Can't even start with this app. Whenever i am entering my PAN i am getting error, this is not right. Very bad user experience.",1,0,1.2.0,23-12-2021 13:40,"Hey Avanindra, we are sorry, our first impression wasn't that great. Some users faced issues while signing up & others while onboarding. We are back up and even stronger now. Would love for you to try it again. If we are able to meet your expectations, do give us thumbs up.",23-12-2021 18:21
3964ad88-9c47-473f-9da6-ac0bb78d9dab,Akshat Gupta,https://play-lh.googleusercontent.com/a-/AD_cMMSlRhlgkU0sZRnOV8Hc131lb4H5DvuCcyPcEg5sDFvjSI_n,"After entering my pan, it says that's not right....🙄🙄",1,0,1.2.0,23-12-2021 13:40,Hi Akshat! Our servers got a bit too hot from all taxpayers like you trying to file their taxes. Please try again in some time!,23-12-2021 13:43
011e908e-3019-42d9-80d5-1c8d23041ec2,Azad Akolkar,https://play-lh.googleusercontent.com/a-/AD_cMMSDnHk_Z2IGRpS0Rp51nnJ_PzuISztQeY7sWTATBIHYyjI,I have enterd my pan no app says thats not right lets try again,1,0,1.2.0,23-12-2021 13:40,"Hi Azad, We experienced downtime on our servers. The app is up and running now. Hoping you give us a chance to solve taxes for you and would love to know about your experience this time around :)
",24-12-2021 16:15
f0144155-f5a5-448c-abb7-5fdd7d4298f7,Deepak Tripathi,https://play-lh.googleusercontent.com/a-/AD_cMMSr2akcailcIrNfgW4PIO6LJdwJIpUlRQdgQKa5AYfhLiB0,"My pan number shows me incorrect, I am several time but still show me incorrect",1,0,1.2.0,23-12-2021 13:40,Hey! Our servers got a bit too hot from all the attention 😅. Please try again in some time!,23-12-2021 13:44
ace69485-07ff-4953-929f-76ae8ad617f1,Go Cleany,https://play-lh.googleusercontent.com/a/AAcHTtcjzzEw6WqaCICA__t-ruBBZe86hv52tv29il8XVthk=mo,Its saying my pan card isnt right. So plz tell me whats my correct pan card no. LoL,1,0,1.2.0,23-12-2021 13:40,Hi! We were facing downtimes with our server but we are back up and running now. Ready to serve you. Requesting you to try again now and let us know how we did this time around :),24-12-2021 20:36
715f67b6-9e02-48b4-9ee4-dbca875e6a93,Niteshkumar Choudhari,https://play-lh.googleusercontent.com/a-/AD_cMMQOyPYzEnLv1nMwbUnmVAWYg15NKN35OK1Wr1VXAZd1ys0Z,"I am just starting the application and it took multiple attempts to signup with email or Google account. Now it is not accepting my PAN details and says ""let's try again"". I have tried multiple times. Not at all satisfied with the application.",1,3,1.2.0,23-12-2021 13:39,Hello Niteshkumar! Thanks for checking out the app. Looks like are servers got a bit too hot from all the attention 😅. You can try again in some time.,23-12-2021 13:43
99d651c3-dee5-404b-9a53-f72ed2f24c0b,Rakesh Kamath,https://play-lh.googleusercontent.com/a-/AD_cMMStiOobpaURJ2_EKRwk6kPUmBBVdbd9D2hR_U95ClhlUeTf,on-boarding did not work as expected.,2,0,,23-12-2021 13:36,Hi Rakesh! Our servers got a bit too hot from all taxpayers like you trying to file their taxes. Please try again in some time!,23-12-2021 13:36
bf92b01f-8a4b-4751-b2b1-2adba1a24444,Dhinu Thomas,https://play-lh.googleusercontent.com/a/AAcHTteWE53qqn0VpcXUDwYa2R8E6kitF1KBW7YlvGuMMxd3=mo,It asks enter your pan. I entered the PAN number and pressed continue then it says that's not right let's try again. This is happening in a loop,1,1,1.2.0,23-12-2021 13:36,"Hey Dhinu, We were experiencing increased traffic (and a lot of love and attention) on our servers. We are back up now. Please try now and we hope that you have a seamless experience. 🙂",24-12-2021 15:34
09da7dbc-c6ac-4159-b6ed-1defc5918bde,Jatin kumar,https://play-lh.googleusercontent.com/a-/AD_cMMQzMcRjbdpbAxPO4w_RWtvYqW-Q9lranMVD-aNhTrPsVg,"The app is not downloading, after 41%, the downloading gets stuck. I have restarted the phone, clear the cache memory and even changed the google account. Please resolve the issue at the earliest.",1,1,,23-12-2021 13:35,"Hi Jatin, we are sorry, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. Would love for you to try it again. If we are able to meet your expectations, do let us know how we did this time around :)",24-12-2021 20:32
665e22f8-be2b-40b2-857d-af7a51a6e122,Sandeep Baskaran,https://play-lh.googleusercontent.com/a-/AD_cMMRCIEg16DdNlGc_Un0_mTegvQ7r4tdSHVM67uVANoyTLwGs,Alert says - incorrect pan number even after several attempts. Google sign-in took so long to complete.,1,1,1.2.0,23-12-2021 13:33,Hello Sandeep! Thanks for checking out the app. Looks like are servers got a bit too hot from all the attention. You can try again in some time.,23-12-2021 13:36
